epoch,train_loss,val_loss,val_accuracy,val_fscore,val_precision,val_recalls
0,0.08720771961642387,0.6930514580143371,tensor(50.8518),0.49024606062029646,0.5148141156801009,0.5085178875638842
1,0.08656135272262688,0.6932789649833406,tensor(51.1073),0.4376127070214812,0.5398552143476086,0.5110732538330494
2,0.08627957222156955,0.6924097290234021,tensor(52.6405),0.49539297951014627,0.5424790293356239,0.5264054514480409
3,0.08637995440260808,0.695737199442147,tensor(52.7257),0.48778904417098734,0.5485312128032409,0.5272572402044293
4,0.08582545230263158,0.6907240588985879,tensor(54.1738),0.5266948583110896,0.5526466253611483,0.5417376490630323
5,0.08556502951715225,0.6869953962160334,tensor(53.2368),0.52325148123958,0.5385733074046692,0.5323679727427598
6,0.085186161815672,0.6874819866030951,tensor(53.4072),0.499158954471639,0.5557000864463447,0.5340715502555367
7,0.08443013356144267,0.6771249598498239,tensor(57.6661),0.571681372042328,0.5779690922365539,0.5766609880749574
8,0.08279548358200188,0.6606089268673014,tensor(62.0954),0.6189990665436971,0.625635473236445,0.620954003407155
9,0.08148034576186561,0.6490176347492095,tensor(62.4361),0.6098705707045097,0.6522787325811176,0.6243611584327087
10,0.07836567125822369,0.6002496420017093,tensor(68.1431),0.6810938097792204,0.681533646240759,0.6814310051107325
11,0.0716701054393797,0.5825551558393839,tensor(73.4242),0.7290962950980441,0.7492959514044915,0.7342419080068143
12,0.06692590699160009,0.5678662216541511,tensor(75.8944),0.751812520806479,0.7868617108966263,0.7589437819420783
13,0.06334017416588346,0.5354970201113765,tensor(74.2760),0.734419019727694,0.7717033290196165,0.7427597955706985
14,0.061402096855909305,0.49961857708389956,tensor(76.1499),0.7614548162966355,0.7614812496315163,0.7614991482112436
15,0.060197148143796994,0.498591345660325,tensor(77.8535),0.7732095069026175,0.802287749794463,0.778534923339012
16,0.057840195275787126,0.45167673842464234,tensor(79.8978),0.7969430848620102,0.8083644009722054,0.7989778534923339
17,0.05727192584733318,0.4834253021358834,tensor(79.2164),0.7862053072115767,0.822973582966119,0.7921635434412265
18,0.05654719531984258,0.47782607856357323,tensor(77.9387),0.7715752643657194,0.8170313197583151,0.7793867120954003
19,0.05561997033599624,0.45148402818016947,tensor(77.9387),0.7767074785804344,0.7901048686592067,0.7793867120954003
20,0.0539671612502937,0.4457823605716127,tensor(81.4310),0.8135050462784402,0.8179204567179154,0.8143100511073254
21,0.05296372492510573,0.45613380601499515,tensor(80.0681),0.7986639061767389,0.8101324232748016,0.8006814310051107
22,0.051975937463287124,0.4538669892328155,tensor(80.4940),0.8041169239791549,0.8082956387127829,0.8049403747870528
23,0.05110990825452302,0.45384119379967197,tensor(80.1533),0.7974429525958726,0.823243423732468,0.8015332197614992
24,0.05016399641682331,0.45698001224300117,tensor(80.3237),0.8008472106257928,0.8150526622850729,0.803236797274276
