epoch,train_loss,val_loss,val_accuracy,val_fscore,val_precision,val_recalls
0,0.08751117188380976,0.6944714668865302,tensor(51.1925),0.48669037337329146,0.5106567716977016,0.5119250425894378
1,0.08685378902138777,0.6959254282702783,tensor(51.4480),0.38489824335444534,0.5452582950887255,0.514480408858603
2,0.08680999714563599,0.69210363043634,tensor(51.9591),0.45793420343008695,0.5262212188790623,0.5195911413969335
3,0.08637492320821118,0.6896204241699011,tensor(52.7257),0.4761213085341668,0.5365395994110839,0.5272572402044293
4,0.08632791943880619,0.6886470549354359,tensor(53.8330),0.46518848620137243,0.5709837411811558,0.5383304940374787
5,0.08596788451395937,0.6887351398370538,tensor(54.5997),0.46309138426352303,0.6024981319376832,0.5459965928449745
6,0.08593455423467805,0.6862441486150687,tensor(55.0256),0.49253414789199634,0.5816830106887056,0.5502555366269165
7,0.0855643972564041,0.6851889067654715,tensor(54.9404),0.4828769080281048,0.5891172203738465,0.5494037478705281
8,0.08548077789935254,0.6856871869738708,tensor(55.2811),0.47609263127392887,0.6112749205124457,0.5528109028960818
9,0.08528408153202996,0.6790854224151404,tensor(56.0477),0.5454993964607706,0.5661917299055289,0.5604770017035775
10,0.0851661591507621,0.6815893654116577,tensor(56.3884),0.5140852705583987,0.5988010972180559,0.5638841567291312
11,0.08487411542613423,0.680959838009368,tensor(56.8995),0.5167882393423887,0.6112457355900269,0.5689948892674617
12,0.08505240305440441,0.6813473993915512,tensor(56.8143),0.5149111505461751,0.610998810941968,0.5681431005110733
13,0.08474085854688204,0.6814776423436414,tensor(56.1329),0.5066263655861342,0.5997679415671382,0.561328790459966
14,0.08482972705584686,0.6821942469533501,tensor(56.6440),0.5072121301364558,0.616081799018345,0.5664395229982965
15,0.0846515495496448,0.6801618250305852,tensor(56.8143),0.5149111505461751,0.610998810941968,0.5681431005110733
16,0.08467266545620489,0.6791615490206665,tensor(56.9847),0.5233175870446022,0.6055510583040431,0.5698466780238501
17,0.08468110814809333,0.6800636717164333,tensor(56.5588),0.5111023842819347,0.6077255580067752,0.565587734241908
18,0.08458258560449086,0.6799357197353747,tensor(56.3884),0.5085509769616692,0.6055046377953349,0.5638841567291312
19,0.08440919840825158,0.6789874604044822,tensor(56.7291),0.5154883281433295,0.6074972046107823,0.5672913117546848
20,0.08440661971649001,0.6791400458581199,tensor(56.8143),0.5142904220430486,0.611843038189039,0.5681431005110733
21,0.08457992432117821,0.6793889144413313,tensor(56.6440),0.5098330022789486,0.6122902459034734,0.5664395229982965
22,0.08458502664366731,0.6794713788381833,tensor(56.5588),0.5085461471579151,0.611178706391272,0.565587734241908
23,0.0845824112445497,0.6794877655461455,tensor(56.5588),0.5091926134280724,0.6102864517840911,0.565587734241908
24,0.08418465033453616,0.6793357962440998,tensor(56.4736),0.5085522473997638,0.6083006987387131,0.5647359454855196
