epoch,train_loss,val_loss,val_accuracy,val_fscore,val_precision,val_recalls
0,0.08291038514994511,0.6158626398626557,65.83725622057834,0.6516529533545351,0.6699197283708307,0.6583725622057834
1,0.07811640900838922,0.5968112132656711,65.90450571620713,0.6540044505981569,0.6674524545683521,0.6590450571620713
2,0.07542060509787414,0.5629833131006442,70.00672494956288,0.6960731729204486,0.709731308730102,0.7000672494956288
3,0.07218866101529121,0.57115724620678,68.99798251513114,0.6826784871438475,0.7072533521229235,0.6899798251513114
4,0.06950207105193375,0.5270216608496424,72.02420981842636,0.7169466831578368,0.7296214602359425,0.7202420981842637
5,0.06728484187475893,0.5205420242032511,72.36045729657027,0.7236083231258338,0.7236179637395801,0.7236045729657028
6,0.06592093141068196,0.5089966653575012,73.90719569603228,0.7388324789659615,0.7404059226456743,0.7390719569603228
7,0.06369988481986559,0.5028040773049247,73.77269670477472,0.7375906959108008,0.7379783153934167,0.7377269670477471
8,0.06252097766585568,0.5078984234825268,74.6469401479489,0.7464735292361601,0.7465323472876919,0.7464694014794889
9,0.06099045556768114,0.5024723399783753,74.24344317417619,0.7415024034705492,0.7452450498902942,0.7424344317417619
10,0.059636331300624554,0.5005481784265156,74.71418964357767,0.7470888155536389,0.7472088383512279,0.7471418964357768
11,0.058937005749966624,0.48931771468699337,74.91593813046403,0.7486460303746646,0.750669066463079,0.7491593813046402
12,0.05782361758340998,0.5080184171724095,74.04169468728985,0.7389265651209225,0.745087015321325,0.7404169468728985
13,0.05691377289810742,0.4869318475800228,74.78143913920646,0.7467297087980147,0.7513171195824212,0.7478143913920645
14,0.05603715130135704,0.5231322691836611,74.6469401479489,0.7444467398564216,0.7557944472569563,0.7464694014794889
15,0.05518458955168526,0.498404320888096,74.51244115669132,0.7444347563589385,0.7471691732737729,0.7451244115669132
16,0.05496612773381868,0.5092628840720325,74.10894418291863,0.7403518701808375,0.743215648799819,0.7410894418291862
17,0.053457144685858875,0.5015410489096446,74.44519166106254,0.7441004287778893,0.7463486535293341,0.7444519166106254
18,0.0534654314433654,0.5193720499220196,74.78143913920646,0.7475932164904445,0.7491363755922349,0.7478143913920645
19,0.05212887669582987,0.5081980379339666,73.8399462004035,0.7375362902628555,0.7408807889151087,0.738399462004035
