epoch,train_loss,val_loss,val_accuracy,val_fscore,val_precision,val_recalls
0,0.08712136175399436,0.6916455463006509,tensor(51.9591),0.4837847172084895,0.5251852317732089,0.5195911413969335
1,0.08650934893385809,0.6881275465378769,tensor(51.7036),0.4813917090657652,0.5254389822238964,0.5170357751277683
2,0.08616445899906015,0.6837019270485873,tensor(54.2589),0.5425871146361315,0.5425855787839495,0.5425894378194208
3,0.08576121394795583,0.6771895377761867,tensor(56.8143),0.5677834588432532,0.5685543371865717,0.5681431005110733
4,0.08521712912652725,0.6814493470947421,tensor(56.9847),0.5450374937064312,0.5875832991234073,0.5698466780238501
5,0.08447393202243891,0.6771580616497709,tensor(56.3032),0.5468470433931183,0.5748377992687398,0.5630323679727428
6,0.08370175010279605,0.66713696992377,tensor(59.0290),0.5804370087047851,0.6006962779405248,0.590289608177172
7,0.08269076928160245,0.6661445592899745,tensor(59.5400),0.5948337523564756,0.5957231415392724,0.5954003407155025
8,0.08179485579182331,0.6627281904220581,tensor(61.3288),0.6125594321080114,0.6144371199919401,0.6132879045996593
9,0.08096216187441259,0.6641586966165286,tensor(59.5400),0.5801016054575179,0.6103164510400696,0.5954003407155025
10,0.08055743913005169,0.6639611595127815,tensor(60.9881),0.5911753605967978,0.6328516017287856,0.6098807495741057
11,0.0797081877055921,0.6735769532608215,tensor(62.1806),0.6207847399802118,0.623482580094253,0.6218057921635435
12,0.07858805032601034,0.6566496297488627,tensor(64.3952),0.6418957771800028,0.6468419973858317,0.6439522998296422
13,0.07783473882460057,0.6478963143983936,tensor(62.6917),0.6227760210711432,0.6320564224210327,0.626916524701874
14,0.07709503862194549,0.6645088120660343,tensor(60.2215),0.5946943184503725,0.6113386035394285,0.6022146507666098
15,0.07609200613839286,0.6691338368128268,tensor(61.0733),0.5981317888795941,0.6279122387743922,0.610732538330494
16,0.07517054507606907,0.6723307803704751,tensor(60.9881),0.6018322919220211,0.6205366624211717,0.6098807495741057
17,0.07466250770970395,0.6574655048282629,tensor(61.9250),0.6190660542427732,0.619357470104888,0.6192504258943782
18,0.07374048218691259,0.6488416422367909,tensor(62.9472),0.6263133596474325,0.6346343518201126,0.6294718909710392
19,0.07298447687823073,0.6729488062086869,tensor(62.2658),0.6217997270096138,0.6241037230542875,0.6226575809199318
20,0.0719788194240484,0.6530556475689707,tensor(63.2879),0.6291367037141745,0.639165991266412,0.6328790459965928
21,0.0708430790721922,0.6656915363704935,tensor(63.8842),0.6363625326001522,0.643307384222705,0.6388415672913118
22,0.06974693355703712,0.6813158280195531,tensor(62.1806),0.6071347842667479,0.6446848544378356,0.6218057921635435
23,0.06902971081267623,0.6765415536484076,tensor(63.2027),0.6297069097100735,0.63596491904254,0.6320272572402045
24,0.0687715458690672,0.6714152353585681,tensor(65.8433),0.6537916570579708,0.6682572324146581,0.6584327086882453
