epoch,train_loss,val_loss,val_accuracy,val_fscore,val_precision,val_recalls
0,0.08721579644913063,0.6927863653920578,tensor(51.0221),0.46273595588666994,0.5312040548604783,0.510221465076661
1,0.0862477421581297,0.6925900096178461,tensor(51.1925),0.48724503703582117,0.5239923692143515,0.5119250425894378
2,0.08556122055627349,0.6909299855337842,tensor(52.0443),0.5144887591930074,0.5182609941439991,0.520442930153322
3,0.08433877356966635,0.701562746216938,tensor(51.0221),0.49376031406418514,0.5188508993887163,0.510221465076661
4,0.08281816296111372,0.7042658194975715,tensor(51.3629),0.5136635558342679,0.514510721044733,0.5136286201022147
5,0.08116891961348684,0.7135738219678707,tensor(50.5111),0.4986186490164801,0.5096536755082617,0.5051107325383305
6,0.07993476121945489,0.7226907918562882,tensor(50.9370),0.5084461234734791,0.5113729641635909,0.5093696763202725
7,0.07792988024259868,0.7358860433406278,tensor(50.5111),0.5050687217782288,0.5061428650295805,0.5051107325383305
8,0.07547864870917528,0.7435301257966933,tensor(51.4480),0.5140857565516622,0.5160390662285153,0.514480408858603
9,0.07395392625851739,0.7596446706245461,tensor(51.1925),0.511044271819753,0.5139260782146253,0.5119250425894378
10,0.07186535828095629,0.7756507414975402,tensor(51.1073),0.5110462936737277,0.5120914038492134,0.5110732538330494
11,0.07032954395265507,0.7900170621920688,tensor(50.0852),0.500724304617259,0.5020061432978805,0.5008517887563884
12,0.06800788592575188,0.803392900518908,tensor(50.3407),0.5010345123599923,0.5061836362520972,0.5034071550255537
13,0.06680173486695254,0.8129208325527393,tensor(51.2777),0.5127768313458262,0.5127768313458262,0.5127768313458262
14,0.06620180058300047,0.8335573005107639,tensor(49.9148),0.4981222823173419,0.4981412417753012,0.4991482112436116
15,0.06410584872826598,0.864130774592216,tensor(50.9370),0.5065911724786265,0.5125291746806954,0.5093696763202725
16,0.06326832706766918,0.8612357562810843,tensor(51.3629),0.5137256716889171,0.5142886253515989,0.5136286201022147
17,0.06168904469425517,0.8909630604862557,tensor(51.3629),0.5122498102383191,0.5160394938224843,0.5136286201022147
18,0.06096068877026551,0.8867376031420706,tensor(51.1925),0.5117419465276877,0.5132029537082567,0.5119250425894378
19,0.059906037983141446,0.8949723115771552,tensor(50.),0.49924599674003406,0.5017622922073367,0.5
20,0.05888943550281955,0.9199507498456835,tensor(52.2998),0.5218594925372293,0.5220596647785097,0.5229982964224872
21,0.056671491350446426,0.9594848866763269,tensor(51.1925),0.5059069716034071,0.5167317819064468,0.5119250425894378
22,0.05502200019090695,0.9470846015306307,tensor(52.5554),0.525662113392136,0.5261068606274243,0.5255536626916525
23,0.05765501094043703,0.9398458324867781,tensor(50.5963),0.505905169273625,0.5070240235942651,0.5059625212947189
24,0.05410987796640038,0.9771721440238887,tensor(50.9370),0.5094793318843134,0.5099467269670995,0.5093696763202725
